artist	artistId	album	albumId	date	song	songId	trackNum
Black Marble	6Nii4K84ZzBZS8X2MP8c9t	Bigger Than Life	1azw2HBS09fU4S9sqEreUq	2019-10-25	Hit Show	5pnynfzIzv2JZuBSxnkKz4	10
Black Marble	6Nii4K84ZzBZS8X2MP8c9t	Bigger Than Life	1azw2HBS09fU4S9sqEreUq	2019-10-25	Call	74UCj6ve4IUi78K4XFCkdV	11
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Trigger	3Fcqa5sb0vVYEEDHzkiOA1	2019-10-24	Trigger	0Z26mbSHJ1dkUu7g9DDgif	1
Sleigh Bells	59pWgeY26Q6yJy37QvJflh	Where Did You Sleep Last Night	6HygQJFg3PSsXfUXccptOe	2019-10-23	Where Did You Sleep Last Night	7n94AQ0n28PeUfflgFifth	1
Anamanaguchi	2UwJRAgSOi1zcLkvUNc8XL	On My Own	4xE8gjVmk1uZQ5yU2rJhoD	2019-10-23	On My Own	1037vjvnATZeXohJRvFz7Y	1
Saltwater Sun	4N8Ccd33SHnh2cNlojKYBv	Mouthbreather	16p0tYXMrrXSDd2vUSSwT2	2019-10-23	Mouthbreather	0mOT4B8ibA3MPkIVpC91VS	1
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Keep On	6MXC3acFh8P61s3xgHaA3J	2019-10-23	Keep On	5CD5m5yu4b0O7iq4DAGsWa	1
Tomggg	4IB2TdHMteDOTMAA1UbbcE	Body Language (Tomggg Remix)	7niXczABwcBD4SBsmxJf4d	2019-10-23	Body Language - Tomggg Remix	4LJAP0Qy4pwZ20FfPO3DaJ	1
Pomplamoose	5dHfLBNU8zoypgKefzEB1c	Mr. Blue Sky	5IK0u7Z0gavJRp8coP2mSd	2019-10-22	Mr. Blue Sky	0G2pt57ZyqI1rTyZmBHGos	1
Lido	1aSwrSGBNGMLn9ymttfRkk	How to Do Nothing	1DkQWARyOSyFoZImKjjCgl	2019-10-22	How to Do Nothing	29jDDKwUGvb5uSyk420013	1
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	And So, You Were!	4yP3YcnptldXNdBG6pkk1d	1
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	Elixir	00bz5bGRGFMfACJWfhMSxx	2
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	Bunny	6ap5AekhAt3k6e0zAknDyV	3
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	So	40o07zQ4rFKoeNLOgG73F6	4
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	Fiction	2OaSAbyzkd5RowM2SqPQAx	5
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	Still Life	3TXfthw8cljL2KxqXRts75	6
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	Wild	3HZcmaxzwPF0bXXPUdTJQ2	7
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	11.12	7gW2Mqn3fePA2c79VwH66k	8
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	Kin	3RID7FNOsH3XqUcEsgpq5v	9
Tourist	2ABBMkcUeM9hdpimo86mo6	Wild	2oegpcBiGzsD1JBXKZ9nWD	2019-10-18	Together At The Centre Of Creation	79wNdFRF18SWBc3gqKBCg3	10
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	A Gentleman's Honor	0Q1fl6TKJLr6f4yG5fcwO9	1
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	Under the Sky	1bEPLqNuTRiNiCy5933aMz	2
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	Frame	3uhOFgqVEIyNNVUjBtAWuB	3
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	These Are The days	6JZKiZ4Yg9baRlR2yoXg9r	4
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	Still Life	3T1glaD0NQKiyBntejGEo2	5
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	Reframe	0VIPlNPeFbkxNXBhyrwGma	6
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	Exposed	1Vj4If2ZmTsutHsruGRGcj	7
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Still Life	18KmY4QwC6CXOQT3ncbcv0	2019-10-18	Artificial Moonlight	2A8DvLjsS1H27xZCQwWyTz	8
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Race for the Prize (feat. The Colorado Symphony & André de Ridder) [Live]	5Zt1qEZVrmrPkoKx3Q9D85	2019-10-18	Race for the Prize (feat. The Colorado Symphony & André de Ridder) - Live	6Sd0Ha5wUprGLsyMp44PrC	1
Skott	6J3RPKUwZlKMzh3vWa9wPc	Midas	4WThOlEqFgIyaMKTwBujDO	2019-10-18	Midas	5CiIQnWZ42IN1bEBLSO8lp	1
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Intro	1VS31JPAKZ80ew4SwwCDsU	1
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Aaron Meets Michael	48CdwbWRVrKh9HMYhvuX5e	2
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Halloween Theme	5wM9WANtdu7opestHMNUV7	3
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Laurie’s Theme	3miphV4CT6UT0yXECdjVnv	4
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Aaron and Dana Enter Laurie's Compound	2kfiDnKTXLcyz0Hhe7GUmS	5
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Laurie's Past	3fElS6qIl3rCodSoEn9BIX	6
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Prison Montage	2LlIN1JF8Z9QnUJFtXiD41	7
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Laurie Breaks Down	6nR3sWusq154E7pCdTNvsA	8
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Karen's Flashback	3sqRRnUL0Aa88DIcmnr9jb	9
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Lumpy Explores Crash	6AI5JO4335pK0oBvAbPc9A	10
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Michael Kills	25y42hXwKfHDgtQjmFjxzh	11
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Hawkins Arrives at Crash Site	6FBIXaY08Z8U8Ppe5NlDtZ	12
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Dana's in the Shower	4Sg8o26Rrr3yBKBc9lwZoX	13
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Story of Judith's Death	1dqSCH0rWcLbJIWvTEb1x8	14
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Gas Station	2fKqkjOEeWVvZT31p4sOC7	15
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Michael Kills Again	6LdpoQQ9ig8Ki7UzG06YWM	16
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Gas Station Aftermath	4IPemYyKT7uX86PLrCyYXE	17
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Shape Returns	0OeLSbPrlXDPFzcpfRQ6x5	18
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Boogeyman	4Lzah2kAdsU9XOLCKdalh1	19
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Shape Kills	0qw0K7goN8b2MkSnnKObgt	20
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Hawkins Called to Babysitter's House	0YYmWDA1Hwg0OLmPb1cbfW	21
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Laurie Sees the Shape	5Ecd1OX00UbJazI7CHwx2n	22
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Babysitter Aftermath	5LtqKDuVaHMkpHGsI91Yyv	23
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Sartain Meets Laurie	5OvYE9i7yU7rkrCWHyk4Q8	24
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Looking for Allyson	3OUefCMy6q2MmK9DYM7FaI	25
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Wrought Iron Fence	0CdqPHscKNRbb8q159CDlY	26
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Shape Hunts Allyson	6uxm37eyMaBgMAi1g4Wg0C	27
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Talking to Cops	0kAvk0eX5WTDKwQmqAHVQR	28
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Allyson Discovered	3xAVTtBpDXh2vbkZxwTXif	29
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Gun Closet	4s0fygDMokrIzDKXmGnwGE	30
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Halloween Theme (I've Got Eyes)	1lBPIJum99PmMibQN2DvYY	31
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Sartain's Gone Mad	1wU37EGGR9pa5UPbj1E3Kr	32
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Say Something	5O1Pnzk9HWx6vGeVAWLRIU	33
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Through the Woods	7lffRejDJg3K02zpZmy4Wp	34
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	Ray's Goodbye	2jqmZLFbtKL1TYZlwzKy0D	35
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Shape Attacks Laurie	4vVtuYsto7rrPGHmeffaOK	36
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Halloween: Original Motion Picture Soundtrack (Expanded Edition)	14pYVyN3T6k9IeVUoMdkcD	2019-10-18	The Shape Is Monumental	0IFky4mFjOq2gbEoDYgtWI	37
